task,category,date,date_iso8601,notes,creator,modifier,modifiedDate
🧺 Blankets,,2021-01-17 14:15:00,20210117T201500.000Z,,,,
🧺 Blankets,,2021-02-16 20:00:00,20210217T020000.000Z,,,,
🧺 Blankets,,2021-03-16 09:30:00,20210316T143000.000Z,,,,
🧺 Blankets,,2021-04-16 10:00:00,20210416T150000.000Z,,,,
🧺 Blankets,,2021-05-14 11:00:00,20210514T160000.000Z,,,,
🧺 Blankets,,2021-06-20 12:30:00,20210620T173000.000Z,,,,
🧺 Blankets,,2021-07-21 19:00:00,20210722T000000.000Z,,,,
🧺 Blankets,,2021-08-20 17:00:00,20210820T220000.000Z,Yellow comforter only ,,,
🧺 Blankets,,2021-09-19 20:30:00,20210920T013000.000Z,,,,
🧺 Blankets,,2021-10-19 22:00:00,20211020T030000.000Z,,,,
🧺 Blankets,,2021-11-18 18:30:00,20211119T003000.000Z,,,,
🧺 Blankets,,2022-01-02 16:15:00,20220102T221500.000Z,,,,
🧺 Blankets,,2022-02-04 20:00:00,20220205T020000.000Z,,,,
🧺 Blankets,,2022-03-08 19:15:00,20220309T011500.000Z,,,,
🧺 Blankets,,2022-04-12 19:15:00,20220413T001500.000Z,,,,
🧺 Blankets,,2022-05-13 07:30:00,20220513T123000.000Z,,,,
🧺 Blankets,,2022-06-22 18:00:00,20220622T230000.000Z,,,,
🧺 Blankets,,2022-07-23 17:00:00,20220723T220000.000Z,,,,
🧺 Blankets,,2022-08-20 22:00:00,20220821T030000.000Z,,,,
🧺 Blankets,,2022-09-30 16:00:00,20220930T210000.000Z,,,,
🧺 Blankets,,2022-11-06 22:00:00,20221107T040000.000Z,,,,
🧺 Blankets,,2023-01-01 13:30:00,20230101T193000.000Z,,,,
🧺 Blankets,,2023-02-03 15:00:00,20230203T210000.000Z,,,,
🧺 Blankets,,2023-03-10 16:00:00,20230310T220000.000Z,,,,
🧺 Blankets,,2023-04-10 21:00:00,20230411T020000.000Z,,,,
🧺 Blankets,,2023-05-10 16:00:00,20230510T210000.000Z,,,,
🧺 Blankets,,2023-06-23 11:00:00,20230623T160000.000Z,,,,
🧺 Blankets,,2023-08-13 14:00:00,20230813T190000.000Z,,,,
🧺 Blankets,,2023-09-17 16:00:00,20230917T210000.000Z,,,,
🧺 Blankets,,2023-11-05 17:30:00,20231105T233000.000Z,,,,
🧺 Blankets,,2023-12-07 11:00:00,20231207T170000.000Z,,,,
🧺 Blankets,,2024-01-17 17:00:00,20240117T230000.000Z,,,,
🧺 Blankets,,2024-02-19 20:00:00,20240220T020000.000Z,,,,
🧺 Blankets,,2024-03-22 17:00:00,20240322T220000.000Z,,,,
🧺 Blankets,,2024-05-14 18:00:00,20240514T230000.000Z,,,,
🧺 Blankets,,2024-06-21 20:00:00,20240622T010000.000Z,,,,
🧺 Blankets,,2024-07-25 18:30:00,20240725T233000.000Z,,,,
🧺 Blankets,,2024-09-01 15:30:00,20240901T203000.000Z,,,,
🧺 Blankets,,2024-10-06 19:30:00,20241007T003000.000Z,,,,
🧺 Blankets,,2024-11-06 18:30:00,20241107T003000.000Z,,,,
🧺 Blankets,,2024-12-20 20:00:00,20241221T020000.000Z,,,,
🧺 Blankets,,2025-02-23 13:00:00,20250223T190000.000Z,,,,
🧺 Blankets,,2025-04-18 18:00:00,20250418T230000.000Z,,,,
🧺 Blankets,,2025-05-30 07:15:00,20250530T121500.000Z,,,,
🧺 Blankets,,2025-07-02 22:15:00,20250703T031500.000Z,,,,
🧺 Blankets,,2025-08-24 11:45:00,20250824T164500.000Z,,,,
🧺 Blankets,,2025-10-18 07:30:00,20251018T123000.000Z,,,,
🧺 Blankets,,2025-12-18 18:30:00,20251219T003000.000Z,,,,
🧺 Blankets,,2026-02-03 19:00:00,20260204T010000.000Z,,,,
🧺 Blankets,,2026-03-25 09:30:00,20260325T143000.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-05-14 15:00:00,20230514T200000.000Z,9mm guard,,,
💇🏻‍♂️ Body Trim,,2023-06-09 17:30:00,20230609T223000.000Z,12mm guard,,,
💇🏻‍♂️ Body Trim,,2023-07-14 10:00:00,20230714T150000.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-08-13 19:00:00,20230814T000000.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-09-15 17:40:00,20230915T224000.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-10-10 18:45:00,20231010T234500.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-11-15 13:00:00,20231115T190000.000Z,,,,
💇🏻‍♂️ Body Trim,,2023-12-19 18:00:00,20231220T000000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-01-18 15:00:00,20240118T210000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-02-23 14:00:00,20240223T200000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-03-25 15:00:00,20240325T200000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-05-03 17:30:00,20240503T223000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-06-08 16:00:00,20240608T210000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-07-12 09:00:00,20240712T140000.000Z,Full,,,
💇🏻‍♂️ Body Trim,,2024-08-16 08:00:00,20240816T130000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-09-26 18:00:00,20240926T230000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-10-26 12:00:00,20241026T170000.000Z,,,,
💇🏻‍♂️ Body Trim,,2024-12-04 09:00:00,20241204T150000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-01-25 09:30:00,20250125T153000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-03-01 10:00:00,20250301T160000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-04-04 17:00:00,20250404T220000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-05-03 18:30:00,20250503T233000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-06-06 03:10:00,20250606T081000.000Z,Full,,,
💇🏻‍♂️ Body Trim,,2025-07-18 19:00:00,20250719T000000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-09-01 18:45:00,20250901T234500.000Z,Full,,,
💇🏻‍♂️ Body Trim,,2025-10-04 17:00:00,20251004T220000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-10-24 20:00:00,20251025T010000.000Z,,,,
💇🏻‍♂️ Body Trim,,2025-11-18 08:00:00,20251118T140000.000Z,Full,,,
💇🏻‍♂️ Body Trim,,2026-01-02 15:30:00,20260102T213000.000Z,,,,
💇🏻‍♂️ Body Trim,,2026-02-05 15:00:00,20260205T210000.000Z,,,,
💇🏻‍♂️ Body Trim,,2026-03-24 16:00:00,20260324T210000.000Z,,,,
🦷 Brushheads,,2019-10-25 07:00:00,20191025T120000.000Z,,,,
🦷 Brushheads,,2020-01-25 08:15:00,20200125T141500.000Z,,,,
🦷 Brushheads,,2020-04-23 23:00:00,20200424T040000.000Z,,,,
🦷 Brushheads,,2020-07-23 15:00:00,20200723T200000.000Z,,,,
🦷 Brushheads,,2020-10-24 17:15:00,20201024T221500.000Z,,,,
🦷 Brushheads,,2021-01-24 18:15:00,20210125T001500.000Z,,,,
🦷 Brushheads,,2021-04-24 09:15:00,20210424T141500.000Z,,,,
🦷 Brushheads,,2021-07-26 11:15:00,20210726T161500.000Z,,,,
🦷 Brushheads,,2021-10-26 19:30:00,20211027T003000.000Z,,,,
🦷 Brushheads,,2022-01-19 20:00:00,20220120T020000.000Z,,,,
🦷 Brushheads,,2022-04-20 18:00:00,20220420T230000.000Z,,,,
🦷 Brushheads,,2022-07-19 06:15:00,20220719T111500.000Z,,,,
🦷 Brushheads,,2022-10-19 21:00:00,20221020T020000.000Z,,,,
🦷 Brushheads,,2023-01-19 20:00:00,20230120T020000.000Z,,,,
🦷 Brushheads,,2023-04-18 21:00:00,20230419T020000.000Z,,,,
🦷 Brushheads,,2023-07-18 17:00:00,20230718T220000.000Z,,,,
🦷 Brushheads,,2023-10-18 06:30:00,20231018T113000.000Z,,,,
🦷 Brushheads,,2024-01-17 17:30:00,20240117T233000.000Z,,,,
🦷 Brushheads,,2024-04-17 19:30:00,20240418T003000.000Z,,,,
🦷 Brushheads,,2024-07-16 22:00:00,20240717T030000.000Z,,,,
🦷 Brushheads,,2024-10-15 21:30:00,20241016T023000.000Z,,,,
🦷 Brushheads,,2025-01-15 08:00:00,20250115T140000.000Z,,,,
🦷 Brushheads,,2025-04-15 22:15:00,20250416T031500.000Z,,,,
🦷 Brushheads,,2025-07-15 22:00:00,20250716T030000.000Z,,,,
🦷 Brushheads,,2025-10-13 17:00:00,20251013T220000.000Z,,,,
🦷 Brushheads,,2026-01-11 22:00:00,20260112T040000.000Z,,,,
🦷 Brushheads,,2026-04-10 06:00:00,20260410T110000.000Z,,,,
🫧 Car Wash,,2021-03-19 12:00:00,20210319T170000.000Z,,,,
🫧 Car Wash,,2021-05-13 20:00:00,20210514T010000.000Z,,,,
🫧 Car Wash,,2021-07-07 15:00:00,20210707T200000.000Z,,,,
🫧 Car Wash,,2021-12-14 14:15:00,20211214T201500.000Z,0/5,,,
🫧 Car Wash,,2022-01-19 12:15:00,20220119T181500.000Z,4/5,,,
🫧 Car Wash,,2022-03-06 11:15:00,20220306T171500.000Z,2/5,,,
🫧 Car Wash,,2022-04-21 16:30:00,20220421T213000.000Z,1/5,,,
🫧 Car Wash,,2022-07-03 11:00:00,20220703T160000.000Z,0/5,,,
🫧 Car Wash,,2022-09-16 11:45:00,20220916T164500.000Z,,,,
🫧 Car Wash,,2023-01-05 16:00:00,20230105T220000.000Z,7/10,,,
🫧 Car Wash,,2023-01-31 13:45:00,20230131T194500.000Z,6/10,,,
🫧 Car Wash,,2023-05-03 14:00:00,20230503T190000.000Z,5/10,,,
🫧 Car Wash,,2023-06-24 14:30:00,20230624T193000.000Z,4/10,,,
🫧 Car Wash,,2023-12-19 14:45:00,20231219T204500.000Z,3/10,,,
🫧 Car Wash,,2024-02-28 09:30:00,20240228T153000.000Z,2/10,,,
🫧 Car Wash,,2024-04-15 20:00:00,20240416T010000.000Z,1/10,,,
🫧 Car Wash,,2024-09-02 15:00:00,20240902T200000.000Z,0/10,,,
🫧 Car Wash,,2025-04-05 10:00:00,20250405T150000.000Z,Mr. Splash,,,
🫧 Car Wash,,2025-07-27 11:15:00,20250727T161500.000Z,Mr. Splash,,,
